% Tiempo en UTC
% *Espacios sin datos estan marcados con NaN (not a number)
%año  mes dia hora min sec BV(volts) Temp DO Q
%
2025  1 16  5  0  0 2.85 5.924 11.708 1.006
2025  1 16  5  5  0 2.85 5.933 11.697 1.006
2025  1 16  5 10  0 2.85 5.924 11.690 1.005
2025  1 16  5 15  0 2.85 5.914 11.700 1.005
2025  1 16  5 20  0 2.85 5.904 11.708 1.006
2025  1 16  5 25  0 2.85 5.884 11.711 1.005
2025  1 16  5 30  0 2.85 5.865 11.712 1.005
2025  1 16  5 35  0 2.85 5.874 11.695 1.005
2025  1 16  5 40  0 2.85 5.855 11.711 1.005
2025  1 16  5 45  0 2.85 5.855 11.717 1.006
2025  1 16  5 50  0 2.85 5.835 11.724 1.005
2025  1 16  5 55  0 2.85 5.835 11.722 1.005
2025  1 16  6  0  0 2.85 5.806 11.740 1.006
2025  1 16  6  5  0 2.85 5.825 11.739 1.006
2025  1 16  6 10  0 2.85 5.806 11.727 1.005
2025  1 16  6 15  0 2.85 5.796 11.735 1.005
2025  1 16  6 20  0 2.85 5.786 11.744 1.005
2025  1 16  6 25  0 2.85 5.786 11.732 1.005
2025  1 16  6 30  0 2.85 5.776 11.740 1.005
2025  1 16  6 35  0 2.85 5.766 11.745 1.005
2025  1 16  6 40  0 2.85 5.746 11.756 1.006
2025  1 16  6 45  0 2.85 5.697 11.766 1.006
2025  1 16  6 50  0 2.85 5.697 11.775 1.006
2025  1 16  6 55  0 2.85 5.667 11.769 1.005
2025  1 16  7  0  0 2.85 5.648 11.778 1.005
2025  1 16  7  5  0 2.85 5.618 11.782 1.005
2025  1 16  7 10  0 2.85 5.559 11.807 1.005
2025  1 16  7 15  0 2.85 5.539 11.829 1.006
2025  1 16  7 20  0 2.85 5.499 11.841 1.006
2025  1 16  7 25  0 2.85 5.499 11.814 1.005
2025  1 16  7 30  0 2.85 5.470 11.846 1.006
2025  1 16  7 35  0 2.85 5.470 11.827 1.005
2025  1 16  7 40  0 2.85 5.440 11.835 1.005
2025  1 16  7 45  0 2.85 5.400 11.837 1.005
2025  1 16  7 50  0 2.85 5.400 11.849 1.005
2025  1 16  7 55  0 2.85 5.400 11.843 1.005
2025  1 16  8  0  0 2.85 5.360 11.859 1.005
2025  1 16  8  5  0 2.85 5.400 11.850 1.005
2025  1 16  8 10  0 2.85 5.380 11.856 1.005
2025  1 16  8 15  0 2.85 5.390 11.844 1.005
2025  1 16  8 20  0 2.85 5.380 11.841 1.005
2025  1 16  8 25  0 2.85 5.380 11.855 1.005
