Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Landaeta, Mauricio F; Gómez, Anakaren; Contreras, Jorge E; Figueroa-González, Yanara; Pinilla, Elías; Reche, Pablo; Castillo, Manuel I; Plaza, Guido; ",Linking shape and growth in young-of-the-year rockfish: an ecological carry-over effect?,Marine Biology,170,8,103,2023,Springer Berlin Heidelberg Berlin/Heidelberg
"Castillo, M; Claro Huneeus, Francisco; ",Stark-Ladder Resonances in the Propagation of Electromagnetic Waves,,,,,1990,
"Landaeta, Mauricio F; Pareja, Matías; Hüne, Mathias; Zenteno‐Devaud, Lisette; Vera‐Duarte, Javier; Bernal‐Durán, Valentina; Castillo, Manuel I; La Mesa, Mario; ","Morphology and diet are decoupled in nearshore notothenoids from King George Island, West Antarctica",Journal of Fish Biology,104,4,957-968,2024,"Blackwell Publishing Ltd Oxford, UK"
"Castillo, M; Medrano, JF; Casellas, J; ",MODELIZACIÓN DE LA VARIABILIDAD MUTACIONAL SEGÚN LA EDAD DE LOS PROGENITORES EN RATONES C57BL/6J,,,,,,
"Castillo, M; Medrano, JF; Casellas, J; ",Accounting for mutational variability in C57BL/6J mice on the basis of parent's age.,,,,,2015,
"Linford, Pamela; Pérez-Santos, Iván; Montero, Paulina; Díaz, Patricio A; Aracena, Claudia; Pinilla, Elías; Barrera, Facundo; Castillo, Manuel; Alvera-Azcárate, Aida; Alvarado, Mónica; ",Oceanographic processes driving low-oxygen conditions inside Patagonian fjords,Biogeosciences,21,6,1433-1459,2024,"Copernicus Publications Göttingen, Germany"
"López‐Soto, Erika; Ord, Gillian; Castillo, Manuel I; Plaza, Guido; Cáceres, Mario A; González, María Teresa; Sepúlveda, Maritza; Guerrero, Alicia I; Piñones, Andrea; Landaeta, Mauricio F; ","Influence of coastal oceanography on early life history traits of larval Patagonian sprat, Sprattus fuegensis along southeastern Pacific Ocean",Fisheries Oceanography,33,6,e12690,2024,
"Orrego, Fernanda S; Benítez, Hugo A; Castillo, Manuel I; Cumplido, Nicolás; Fabres, Alejandra; Figueroa-González, Yanara; Morales, Claudia; Zavala-Muñoz, Francisca; Landaeta, Mauricio F; ",Morphospace of lanternfish larvae and their interplay with oceanographic conditions from the southeastern Pacific Ocean,Deep Sea Research Part I: Oceanographic Research Papers,214,,104413,2024,Pergamon
"Díaz-Astudillo, Macarena; Castillo, Manuel I; Figueroa, Pedro A; Castro, Leonardo R; Riquelme-Bugueño, Ramiro; Pérez-Santos, Iván; Pizarro, Oscar; Saldías, Gonzalo S; ",Cross-canyon variability in zooplankton backscattering strength in a river-influenced upwelling area,Ocean Science,21,4,1833-1848,2025,"Copernicus Publications Göttingen, Germany"
"Rodríguez-Stepke, Benjamín; Morales, Claudia; Castillo, Manuel I; Rodríguez, Ángela; Cárdenas, César A; La Mesa, Mario; Hüne, Mathias; Landaeta, Mauricio F; ","Coastal zooplankton in the Palmer Archipelago, Western Antarctica Peninsula: Influence of environmental conditions at short-term scale during austral summer",Journal of Marine Systems,248,,104047,2025,Elsevier
"Segovia-Jara, Tamara; Benítez, Hugo A; Castillo, Manuel I; La Mesa, Mario; Morales-Garrido, Claudia; Rodríguez-Stepke, Benjamín; Cárdenas, César A; Landaeta, Mauricio F; ","Out in the Cold: The ignored influence of glacial melting on Rhincalanus gigas and R. nasutus (Copepoda, Calanoida) morphology in Antarctic waters",Marine Environmental Research,,,107546,2025,Elsevier
"Castillo, Manuel I; Zuñiga, Constanza; Barrios-Guzmán, Carmen; Cisternas, Natalia; Garces-Vargas, José; Landaeta, Mauricio F; Piñones, Andrea; Rojas-Celis, Marcela; Guerrero, Alicia I; Sepúlveda, Maritza; ","The answer is blowing in the wind: seasonal hydrography and mixing of the inner sea of Tierra del Fuego, Southern Patagonia",EGUsphere,2025,,1-40,2025,"Copernicus Publications Göttingen, Germany"
"Rojas-Celis, Marcela; Castillo, Manuel I; Pérez-Santos, Iván; Barrios-Guzmán, Carmen; Garcés-Vargas, José; Guerrero, Alicia; Landaeta, Mauricio F; Piñones, Andrea; Sepúlveda, Maritza; ",Turbulent Mixing in Patagonian Fjords and Channels,EGUsphere,2025,,1-34,2025,"Copernicus Publications Göttingen, Germany"
"Daneri, Giovanni; ",Synoptic events force biological productivity in Patagonian fjord ecosystems,EGU General Assembly Conference Abstracts,,,EPSC2016-10672,2016,
"Tay, J; QM, GUTIERREZ; SPM, SALAZAR; Castillo, M; GM, ORTEGA; ",ESTUDIOS SOBRE SEIS CEPAS MEXICANAS DE TRYPANOZOMA CRUZI,,,,,1973,
"Garcés-Vargas, José; Piñones, Andrea; Schneider, Wolfgang; Landaeta, Mauricio F; Castillo, Manuel I; Cisternas, Natalia; Barrios-Guzmán, Carmen; Barilari, Fernanda; ",Seasonal dynamics and forcing mechanisms of the Cape Horn Current: insights from reanalysis data and hydrographic observations,Progress in Oceanography,,,103665,2026,Pergamon
"Cisternas, Natalia; Garcés-Vargas, José; Castillo, Manuel I; Barrios-Guzmán, Carmen; Barilari, Fernanda; Landaeta, Mauricio F; Sepúlveda, Maritza; Piñones, Andrea; ",Salinity variability in the mixed layer off Chilean Patagonia: potential influence of Patagonian ice fields,Progress in Oceanography,,,103653,2026,Pergamon
"Benitez, H; Vargaas, E; Peña, E; Taype, A; Arrospide, D; Castillo, M; ","Características clínicas, manejo y mortalidad de pacientes hospitalizados con COVID-19 en un hospital de referencia en Lima, Perú",Scielo [Internet],,,,2020,
"Barilari, Mariano J; Castillo, Manuel; ",Contribución al estudio del reumatismo:(el reumatismo y el reumático); comunicación,,,,,1937,Las Ciencias
"Castillo, Manuel; ",Movimientos sociales y crisis: el caso peruano,,,,,1986,Centro de Estudios y Promoción del Desarrollo
"Castillo, M; Vargas, J; ",Modos de uso de un libro de texto para enseñar cuadriláteros: un estudio comparativo,"Investigación en Educación Matemática XXVII: Córdoba, 4, 5 y 6 de septiembre de 2024",,,153-160,2024,"Sociedad Española de Investigación en Educación Matemática, SEIEM"
"BRAVO, MAURICIO; CASTILLO, MANUEL; ",CARACTERIZACIÓN DEL RÉGIMEN DE MAREAS Y CORRIENTES A LO LARGO DEL CANAL MORALEDA (43 54'S-45 17'S),Ciencia y tecnología del mar,21,,,,El Comité
"Mochi, P Moreno; Vargas, Juan Martin; Vivaldo, S; Bottiglieri, M; López, C; Mochi, S; Cobos, M; Castillo, M; Del Campo, R; Jure, Maria Angela; ",Molecular epidemiology of methicillin-resistant Staphylococcus aureus from different population groups in Argentina,Journal of Global Antimicrobial Resistance,23,,82-86,2020,Elsevier
